"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","gerkmeans.cluster"
"100","Kazakhstan",91.01123047,91.8253479,92.44254303,90.92436218,89.16980743,88.69101715,89.89299774,89.48365784,89.47415924,87.99476624,86.36736298,86.19983673,86.56228638,7
"101","Kenya",62.02732849,74.505867,73.78095245,75.42481232,75.27037811,86.33712769,82.0760498,82.78177643,95.05872781,94.3285471608333,84.87438965,94.8120931,92.9070760545455,8
"106","Kuwait",94.24334717,93.63304138,92.72073364,96.08960724,83.67605591,92.59259796,92.1984787,77.3795819971429,91.43897247,92.1536026,91.90992737,92.12458801,92.87294006,7
"107","Kyrgyz Republic",85.98314667,84.96440887,89.28211975,86.73545074,87.75302887,86.30444336,86.04425812,85.459198,86.05391693,86.22775269,89.49092865,90.375,89.68836975,7
"108","Lao PDR",76.17453003,78.69946289,79.34927368,80.61728668,82.15599823,84.66915894,87.11556244,89.50417328,94.14740753,93.98845673,93.78661346,95.37303925,95.12422943,8
"111","Lesotho",80.49755096,80.61152649,78.10842133,77.2170105,77.3659668,74.93022156,75.91729736,76.57556152,78.50740814,80.17217255,81.60585022,79.58068848,80.2472229,8
"114","Liechtenstein",58.5101269328571,94.4807663,95.62220001,96.399181365,95.07176971,95.17900085,93.49633026,91.85694885,93.53900909,91.97499084,91.08547211,84.59343719,90.6865387,9
"115","Lithuania",95.25715637,93.15036774,89.15759277,88.30599976,90.39185333,93.07073212,94.84387207,95.81812286,96.33886719,95.55744934,96.58274841,97.99391937,97.8781662,5
"116","Luxembourg",96.10159302,94.90769196,95.61833191,96.24884796,96.52635193,96.62700653,95.82933044,85.7125795144444,92.7869873,92.07405853,92.84166718,92.45726776,94.7290122290909,5
"118","Macedonia, FYR",91.11142731,89.60684967,89.06848145,88.39009094,86.68974304,84.9420929,83.26818085,83.26656342,83.63126373,94.474665832,83.1576004,87.1340311218182,86.313229371,7
"121","Malaysia",95.86602783,96.69526672,97.36813354,96.81165314,96.61634064,96.27136993,95.76944733,95.17381287,94.56539917,94.58302307,94.59887695,98.060626985,95.8472137445455,3
"122","Maldives",97.10856628,94.494083405,99.07289124,97.7875824,97.27304077,96.11460876,91.93641663,96.13052368,83.67605591,94.8120931,94.4232095091667,95.8591181433333,96.4890899657143,5
"126","Mauritania",62.13819122,65.02393341,71.84349823,70.28150177,72.83608246,73.47041321,70.14920044,69.55725861,69.9178009,70.08289337,68.98307037,72.47673035,74.44690704,2
"127","Mauritius",94.3364563,93.72853851,94.38053894,96.02088928,96.0304718,96.49945831,96.64820862,96.65991974,96.50868988,96.46623993,93.8221817,96.28112793,96.19619751,5
"128","Mexico",96.91726685,96.39093781,95.46965027,94.44480896,93.54720306,93.41609192,93.40223694,93.91802216,94.6704483,95.4408493,96.00476074,95.61473846,95.0582962,5
"129","Micronesia, Fed. Sts.",67.1189661025,52.334899905,94.18078105,87.1340311218182,93.1917800866667,92.6013011925,98.4837674227273,92.44702720625,94.18078105,92.44702720625,98.4837674227273,77.7973698214286,83.00122833,9
"130","Moldova",91.36379242,92.66272736,92.37393951,90.98954773,87.78560638,87.57080078,87.71829224,87.51560974,87.59101105,87.81111145,87.92875671,87.85463715,87.14634705,7
"132","Mongolia",89.55140686,82.55950928,87.43434143,87.91391754,91.66928864,88.99362946,87.72599792,95.45365143,97.295578,97.82787323,97.3006134,94.82492065,94.94515991,7
"133","Montenegro",97.01480484,97.34278107,89.0391557477778,97.91654968,98.46237183,95.30744934,94.10468292,96.399181365,89.0391557477778,91.92591095,94.23789215,84.8549747475,97.722049715,5
"134","Morocco",83.93228149,85.21161652,85.04203796,86.00447845,87.27507019,88.62529755,89.71112061,90.34358215,94.44905853,96.85996246,97.32385254,97.64438629,98.42964172,7
