"","X...Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","gerkmeans.cluster"
"1","Afghanistan",130.3,126.8,123.2,119.6,116.3,113.2,110.4,107.6,105,102.3,99.5,96.7,93.9,91.1,3
"2","Albania",23.6,22.5,21.5,20.5,19.5,18.7,17.9,17.3,16.6,16,15.5,14.9,14.4,14,2
"3","Algeria",37.8,36.5,35.1,33.6,32.1,30.7,29.4,28.3,27.3,26.6,26.1,25.8,25.6,25.5,9
"5","Andorra",4.2,4.1,4,3.9,3.7,3.6,3.5,3.4,3.3,3.2,3.1,3,2.9,2.8,4
"6","Angola",211.7,209.2,206.7,203.9,200.5,196.4,192,187.3,182.5,177.3,172.2,167.1,162.2,156.9,5
"7","Antigua and Barbuda",14.1,13.5,12.9,12.4,11.8,11.3,10.9,10.4,9.9,9.5,9.1,8.7,8.4,8.1,4
"8","Argentina",19.2,18.6,17.9,17.1,16.4,15.8,15.4,15,14.6,14.2,13.8,13.3,12.9,12.5,2
"9","Armenia",27.3,25.9,24.6,23.4,22.2,21.1,20,19,18,17.2,16.3,15.5,14.7,14.1,2
"11","Australia",6,6,5.9,5.7,5.6,5.4,5.2,5,4.8,4.5,4.3,4.1,3.9,3.8,4
"12","Austria",5.3,5.2,5,4.9,4.8,4.7,4.6,4.5,4.4,4.2,4,3.9,3.7,3.5,4
"13","Azerbaijan",63.8,59.3,55.2,51.7,48.6,45.8,43.3,41,39,37.3,35.7,34.2,32.9,31.7,9
"14","Bahamas, The",15.5,15.4,15.4,15.3,15.1,14.8,14.5,14.2,13.9,13.5,13.2,12.8,12.4,12.1,2
"15","Bahrain",11.8,11.5,11.2,10.9,10.5,10,9.4,8.8,8.3,7.8,7.3,6.9,6.5,6.2,4
"16","Bangladesh",79,74.8,70.7,66.8,63,59.4,55.9,52.6,49.6,46.7,44,41.6,39.5,37.6,6
"17","Barbados",16.8,16.8,16.7,16.5,16.2,15.8,15.4,15.1,14.7,14.4,14.1,13.7,13.3,13,2
"18","Belarus",11.9,10.9,10.2,9.4,8.7,7.9,7.2,6.6,6.1,5.6,5.3,5,4.7,4.6,4
"19","Belgium",5.4,5.2,5.1,5,4.9,4.8,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4
"20","Belize",23.5,22.8,22.2,21.7,21.2,20.6,20.1,19.5,19,18.5,18,17.5,17,16.5,2
"21","Benin",137.1,133.1,129.2,125.5,122.1,119,116.3,113.9,111.6,109.3,107,104.8,102.1,99.5,3
"23","Bhutan",70.6,66.4,62.3,58.5,54.8,51.3,48.1,45.1,42.3,39.9,37.8,36,34.4,32.9,6
"24","Bolivia",72.2,68.5,64.8,61.4,58.1,54.9,52,49.3,47,44.9,43.1,41.3,39.8,38.4,6
"25","Bosnia and Herzegovina",8.3,8.2,8.2,8.3,8.3,8.3,8.1,7.8,7.4,6.9,6.5,6.1,5.7,5.4,4
"26","Botswana",79.8,78.1,75.8,69,63.4,62.6,61.7,57.3,53.5,51.8,49.5,46.6,44.8,43.6,6
"27","Brazil",27.4,25.4,23.6,21.9,20.4,19.2,18.1,17.2,16.6,16.2,16,16,16.2,16.4,2
"29","Brunei Darussalam",9.2,9.1,9.1,9,9,9,9,9.1,9.3,9.5,9.7,9.9,10.1,10.2,4
"30","Bulgaria",19.2,18.1,17,15.9,15,14.2,13.7,13.3,13,12.6,12,11.5,10.9,10.4,2
"31","Burkina Faso",178.3,173.1,166.3,158.3,149.4,139.9,130.4,121.4,113.5,106.9,101.4,96.6,92.4,88.6,3
"32","Burundi",143.2,138.3,133,127.1,120.9,114.5,108.6,103.5,98.8,94.9,91.2,87.8,84.6,81.7,3
"33","Cabo Verde",29.9,28.5,27.8,27.7,27.9,28.1,28.2,28.1,27.8,27.3,26.6,25.9,25.2,24.5,2
"34","Cambodia",88.3,78.8,71.3,65.4,60.4,55.8,51.5,47.3,43.1,39.3,35.8,32.9,30.6,28.7,6
"35","Cameroon",140.2,134.7,129.6,125.1,120.7,116.6,112.8,109,104.8,101,97.4,93.9,90.6,87.9,3
"36","Canada",6.2,6.1,6.1,6.1,6,5.9,5.8,5.7,5.6,5.4,5.3,5.2,5,4.9,4
"38","Central African Republic",171.9,170.3,168.4,166.2,163.9,161.3,158.2,154.2,150.2,146.2,142.1,138.5,134,130.1,5
"39","Chad",184.6,181.9,179.4,177,174.6,171.5,168,164,160.1,156,151.6,147.1,142.9,138.7,5
"41","Chile",9.8,9.5,9.3,9.1,9,8.9,8.9,8.8,8.8,8.7,8.6,8.4,8.3,8.1,4
"42","China",31.6,28.9,26.3,24,21.9,20.1,18.5,17,15.7,14.5,13.4,12.3,11.4,10.7,2
"43","Colombia",23.6,22.9,22.2,21.5,20.9,20.3,19.7,19.1,18.5,18,17.4,16.9,16.4,15.9,2
"44","Comoros",100.8,100.4,99.4,97.8,95.7,93.5,91.2,88.5,86,83.3,80.9,78.3,75.9,73.5,1
"45","Congo, Dem. Rep.",152.4,147.8,143.2,138.4,133.5,128.9,124.5,120.1,116.1,112.2,108.5,104.8,101.7,98.3,3
"46","Congo, Rep.",115.6,109.8,102.9,95.3,87.4,79.9,72.6,66.1,60.6,56.1,52.6,49.6,47.1,45,8
"47","Costa Rica",11.6,11,10.7,10.4,10.3,10.3,10.3,10.2,10.2,10.1,10.1,10,9.9,9.7,4
"48","Cote d'Ivoire",139.7,136.3,132.7,128.8,125.1,121.1,116.5,112.7,109.1,105.9,102.5,99,95.5,92.6,3
"49","Croatia",7.7,7.4,7.1,6.8,6.5,6.2,5.9,5.6,5.4,5.1,4.9,4.7,4.5,4.3,4
"50","Cuba",7.7,7.4,7.1,6.8,6.6,6.4,6.3,6.2,6.1,6,5.8,5.7,5.6,5.5,4
"52","Cyprus",5.8,5.4,5.1,4.8,4.6,4.3,4.1,3.8,3.6,3.4,3.2,3,2.9,2.7,4
"53","Czech Republic",6,5.7,5.5,5.2,5,4.7,4.5,4.3,4.1,3.9,3.8,3.7,3.5,3.4,4
"54","Denmark",5.4,5.3,5.1,4.9,4.7,4.5,4.3,4.2,4,3.9,3.8,3.7,3.6,3.5,4
"55","Djibouti",96,93.5,91,88.5,86,83.5,81,78.5,76.1,73.9,71.7,69.5,67.4,65.3,8
"56","Dominica",15.1,15.1,15.3,15.6,16,16.5,17.1,17.9,18.8,19.6,20.4,21,21.2,21.2,2
"57","Dominican Republic",39.1,38.3,37.5,36.8,36.1,35.5,34.9,34.3,33.8,33.3,32.7,32.2,31.5,30.9,9
"58","Ecuador",31.9,30.9,30,29.1,28.3,27.5,26.8,26,25.2,24.5,23.7,23,22.3,21.6,2
"59","Egypt, Arab Rep.",41.4,39.2,37.3,35.6,34.1,32.7,31.4,30.2,29,27.9,26.8,25.8,24.8,24,9
"60","El Salvador",29,27.5,26.1,24.8,23.6,22.6,21.6,20.8,20,19.3,18.6,18,17.4,16.8,2
"61","Equatorial Guinea",143.8,139.6,135.4,131.2,126.9,122.7,118.4,114.6,110.9,107.3,103.7,100.3,97.4,94.1,3
"62","Eritrea",80.4,76.5,72.9,69.5,66.3,63.2,60.4,57.9,55.6,53.5,51.6,49.7,48.1,46.5,6
"63","Estonia",9.4,8.6,7.9,7.3,6.7,6.1,5.5,5.1,4.6,4.2,3.8,3.5,3.2,2.9,4
"64","Ethiopia",132.2,124.8,117,109.1,101.3,93.8,86.9,80.8,75.7,71.3,67.7,64.6,61.8,59.2,7
"66","Fiji",23.9,23.7,23.7,23.7,23.8,23.9,24,24,23.9,23.7,23.5,23.2,22.9,22.4,2
"67","Finland",4.1,4,3.9,3.8,3.6,3.5,3.3,3.2,3,2.9,2.7,2.6,2.4,2.3,4
"68","France",5.1,4.9,4.7,4.6,4.5,4.4,4.3,4.3,4.3,4.3,4.3,4.4,4.4,4.3,4
"70","Gabon",82.5,80.8,78.8,76.7,74.5,71.9,68.9,66.1,63.3,60.6,57.7,54.8,52.3,50.8,6
"71","Gambia, The",110.2,106,101.9,97.9,94.2,90.6,87.4,84.3,81.4,78.6,76.1,73.6,71.1,68.9,1
