"","Country.Name","X2002..YR2002.","X2003..YR2003.","X2004..YR2004.","X2005..YR2005.","X2006..YR2006.","X2007..YR2007.","X2008..YR2008.","X2009..YR2009.","X2010..YR2010.","X2011..YR2011.","X2012..YR2012.","X2013..YR2013.","X2014..YR2014.","X2015..YR2015.","X2016..YR2016.","gerkmeans.cluster"
"1","Afghanistan",73.3095932,99.24848938,111.2605591,104.1713715,107.817421,104.6908188,106.4537735,102.2252884,105.5209274,102.8096313,108.9285202,110.0654373,111.744133,90.8310724888889,99.025328828,2
"3","Algeria",105.1563721,106.0329895,107.0486984,107.7446594,108.2872086,109.6284027,109.3120575,112.4307404,115.4546127,116.7469177,118.2673569,119.7516632,118.7494736,113.945419316667,102.407495122,10
"6","Angola",111.893165592308,99.8286209153846,99.78939056,108.529072836364,89.36720276,105.2104034,111.9137573,111.1583405,113.5078735,128.7041473,82.3938991830769,107.549366876923,102.501325746154,98.6353503154545,82.3938991830769,4
"8","Argentina",118.758522,116.5013123,117.8136368,117.1332932,118.8351974,119.3486862,119.4411621,118.2114105,116.7181625,114.7684708,112.9782562,110.5659866,102.507320695385,108.062845084615,90.8310724888889,1
"10","Aruba",110.9983063,109.2143021,110.8390503,111.3767166,114.2385864,115.224411,113.0788269,113.7757416,113.7417831,105.2193985,104.0627594,116.108017,117.3180389,106.143142733333,113.945419316667,10
"11","Australia",101.150238,101.274971,101.8791199,102.3891525,103.0109634,104.9848633,105.0581284,105.3190613,105.7040863,105.9915009,106.4533234,106.5677719,90.7451025146154,106.338101058333,106.4644877,2
"13","Azerbaijan",98.34942627,96.21324158,97.26132965,95.52696991,94.21665955,94.77120209,94.07247162,95.068573,93.76229858,95.57363129,97.95530701,100.5004501,106.0598907,104.199249269231,98.6353503154545,2
"14","Bahamas, The",94.44444275,100.729174693077,103.7418365,109.1632309,107.8449631,111.2169724,111.244339,107.3528976,107.8977509,107.45090179,90.8310724888889,121.404295925,88.8852361055555,102.0045026,107.393849696667,10
"16","Bangladesh",114.0989044,100.532933541667,105.428770192308,98.66104126,99.40104675,98.60388947,96.54550171,99.76931763,102.6562881,111.8765564,113.945419316667,93.3605995225,98.98592948,101.867755258333,105.052583551538,2
"18","Belarus",111.0736694,100.9463882,98.62963104,97.30198669,98.436203,100.9466629,104.0266495,105.076683,103.449913,101.2123718,98.97614288,97.80240631,98.96627808,105.778347557143,106.338101058333,2
"20","Belize",107.2696075,111.1721115,112.8914108,113.3220596,113.7301178,113.1587601,112.3514404,113.0153809,112.550499,111.4111176,113.7917099,112.0314484,111.7301865,111.070661766667,104.199249269231,10
"22","Bermuda",101.509201,101.6246567,100.3965836,99.1047287,97.11438751,77.5966162236364,82.3938991830769,108.311587405385,92.28388977,89.83261108,87.50518799,86.45133972,87.47599792,104.660271325,96.6093928033333,2
"24","Bolivia",121.6269531,119.1049728,115.5439377,97.97987302,113.4143295,112.6471634,111.5192337,107.915896328182,109.102699284167,97.9838104209091,100.03295254,99.4797369146154,103.711228006154,105.428770192308,99.552537538,10
"25","Bosnia and Herzegovina",101.564505442857,54.7784591092308,99.2726281976923,114.814225992308,123.431042063636,79.9173590358333,111.172302225,109.197001530769,65.9893207566667,97.22232819,100.4945679,101.225708,100.1723175,99.2726281976923,105.778347557143,2
"26","Botswana",107.5896683,107.6238022,107.1383896,107.1951675,107.6448669,106.6902695,106.4792175,107.5096664,114.4490348,109.307496869231,108.0655823,108.5723877,101.772817762308,115.596854569231,108.567791757,10
"27","Brazil",146.8277893,140.5444946,133.6963043,133.2621613,103.591889593846,128.1797943,132.0552063,131.1651611,107.39365317,132.4966125,130.3760223,109.7704926,111.893165592308,99.9440818269231,111.070661766667,1
"28","British Virgin Islands",103.0425186,100.0359802,99.75273895,99.45092773,97.62859344,98.99186707,90.8310724888889,94.58724213,103.514560412308,95.00453949,95.53140259,96.20825195,97.58785248,104.780436204167,99.78939056,2
"29","Brunei Darussalam",109.0295181,112.1398773,112.602272,112.0958862,111.7696991,110.9496765,108.5753479,107.6157913,107.1307373,107.4089508,106.7837296,107.4519424,107.4440308,113.164476253846,104.660271325,10
