"att1";"1972 [YR1972]";"1973 [YR1973]";"1974 [YR1974]";"1975 [YR1975]";"1976 [YR1976]";"1977 [YR1977]";"1978 [YR1978]";"1979 [YR1979]";"1980 [YR1980]";"1981 [YR1981]";"1982 [YR1982]";"1983 [YR1983]";"1984 [YR1984]";"1985 [YR1985]";"1986 [YR1986]";"1987 [YR1987]";"1988 [YR1988]";"1989 [YR1989]";"1990 [YR1990]";"1991 [YR1991]";"1992 [YR1992]";"1993 [YR1993]";"1994 [YR1994]";"1995 [YR1995]";"1996 [YR1996]";"1997 [YR1997]";"1998 [YR1998]";"1999 [YR1999]";"2000 [YR2000]";"2001 [YR2001]";"2002 [YR2002]";"2003 [YR2003]";"2004 [YR2004]";"2005 [YR2005]";"2006 [YR2006]";"2007 [YR2007]";"Country Name";"Series Code";"Series Name"
13382.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.388355787;;;"Australia";"PA.NUS.PPP.05";"2005 PPP conversion factor, GDP (LCU per international $)"
13383.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.464139574;;;"Australia";"PA.NUS.PRVT.PP.05";"2005 PPP conversion factor, private consumption (LCU per international $)"
13386.0;;0.947445;0.9405361999999999;0.9671617;0.9766271000000001;0.9996267;0.999718;0.9998426;0.999532;0.9943900999999999;0.9837164;0.9743295000000001;0.9568052;0.9577825;0.9648354;0.9705439;0.9773623;0.9785115999999999;0.9745849;0.9689391999999999;0.9669243000000001;0.9630212;0.9599658999999999;0.9452697999999999;0.9485366999999999;0.9441408;0.9437326;0.9409122000000001;0.9415338;0.9401943;0.9454640999999999;0.9441797;0.9453758000000001;0.9467774;0.9477388000000001;0.9626131;"Australia";"2.1";"Achieve universal primary education"
13387.0;;95.21117;94.56782;96.93985;97.73164;;;;;99.33684;98.32971;97.20877;95.53868;95.87583;96.70285;97.37965;98.13294;98.25354;97.75773;97.20217;97.02169;96.62221;96.32037;94.79994;95.08169;94.58455;94.62973;94.37704;94.43804;94.34438;94.83433;94.72572;94.85203;94.99775;95.10258;96.58082;"Australia";"SE.PRM.TENR.FE";"Adjusted net enrollment rate, primary, female (% of primary school age children)"
13388.0;;94.30256;93.56668;96.50409;97.5971;;;;;99.53682;98.41175;97.64704;95.81573;95.68539;96.27522;96.74581;97.36017;97.46976;97.17475;96.60137;96.37967;95.99786;95.68865;94.2673;94.63664;94.25179;94.12919;93.81944;93.88303;93.7109;94.27309;94.12587;94.23911;94.37399;94.46166;95.95781;"Australia";"SE.PRM.TENR.MA";"Adjusted net enrollment rate, primary, male (% of primary school age children)"
13389.0;5.705324776771434;5.371589093546021;2.6403401948859653;0.7847124563686378;2.4016182397111834;1.1391437382852274;0.3537433021078016;1.3194932891007483;3.711460800276228;4.495766128979952;0.0286300607378962;0.4844091075118371;4.614756612737224;2.4013289955003216;2.8990901699786633;2.203771074864676;6.314003108710267;5.073365237368847;2.4720639382119742;-0.4760722861990274;-0.24337729725588986;4.841701918687733;4.238944195624185;2.3121232634348132;4.574522038250038;4.029030894477685;4.216662990228485;4.477989179039227;2.442753490064746;2.4976259626930357;4.895124811916759;2.501414223756072;4.432884540555037;2.2975493158555906;3.356484945051207;2.2078943785793825;"Australia";"NY.ADJ.NNTY.KD.ZG";"Adjusted net national income (annual % growth)"
13390.0;2.0812879544477185E11;2.1930861912141193E11;2.2509911274292395E11;2.2686549351979297E11;2.3231393659177512E11;2.3496032625362424E11;2.3579148267035706E11;2.3890273546046356E11;2.4776951683786627E11;2.5890865485380032E11;2.5898278055894064E11;2.6023731673485556E11;2.7224663551768723E11;2.787841729156475E11;2.868663774681014E11;2.931882557182555E11;3.1170017129867957E11;3.2751385943416595E11;3.356102114458842E11;3.3401246423953644E11;3.3319955373157245E11;3.4933208291765295E11;3.6414007496994385E11;3.725594423548129E11;3.896022561509153E11;4.0529945141681775E11;4.223895633843098E11;4.413041223260503E11;4.5208409417596954E11;4.6337546388531415E11;4.860582711902986E11;4.982166019215956E11;5.203019686466566E11;5.322561629676811E11;5.501212609467986E11;5.622673573426129E11;"Australia";"NY.ADJ.NNTY.KD";"Adjusted net national income (constant 2005 US$)"
13391.0;4.27463954067689E10;5.26113587456535E10;7.27915580653679E10;8.00959741789146E10;8.63855322597798E10;8.92715703951756E10;9.61898471450203E10;1.06825395476883E11;1.18506919216196E11;1.42604369225888E11;1.52576740637499E11;1.42670587029159E11;1.55267532016819E11;1.42345733725294E11;1.44322719064919E11;1.49890778204868E11;1.86781464775028E11;2.37733714474938E11;2.4219674908238E11;2.53527007522869E11;2.54133295849364E11;2.47653751926072E11;2.59016775151395E11;2.92377416295361E11;3.19536678378596E11;3.47323042727107E11;3.19312069948363E11;3.11782020335584E11;3.28385624845307E11;3.00322488871478E11;3.13793525360672E11;3.69819313525531E11;4.80868484243598E11;5.32256162967681E11;5.65643717254178E11;6.28779245950248E11;"Australia";"NY.ADJ.NNTY.CD";"Adjusted net national income (current US$)"
13392.0;3.7800551443494044;3.772902054234393;0.07489264793225914;-0.44852738510424217;1.3800101335642836;0.006031854520614388;-0.8064963822597946;0.23048674692769566;2.454951133624377;2.850659607889952;-1.6255527133591698;-0.7643723447319388;3.436965670429643;1.0106776181023633;1.226331150334829;0.6610275878240657;4.588640057569648;3.309894422472965;0.9666671676504563;-1.736532120528537;-1.4465008977291092;3.8209981925308085;3.1413848840152525;1.083607839122891;3.209587803793056;2.871717055072679;3.1361203885447395;3.291115688946576;1.2286092284741699;1.1248663299572286;3.6225947247392014;1.2443223798828171;3.2291309900016216;0.9563072008527627;1.8429328172099702;1.5714137518676239;"Australia";"NY.ADJ.NNTY.PC.KD.ZG";"Adjusted net national income per capita (annual % growth)"
13393.0;15794.854325322292;16390.778708625705;16403.05419681731;16329.482006751095;16554.830513202814;16555.829076495505;16422.306913940454;16460.158154916877;16864.24699413737;17344.98927137404;17063.037327641367;16932.612189137588;17514.58025718523;17691.596199749176;17908.55375493816;18026.934235838606;18854.12536133603;19478.177005076956;19666.46614704187;19324.951645425623;19045.416046388822;19773.141049281312;20394.291513298453;20615.285654870127;21276.951348965937;21887.96518965371;22574.398128604018;23317.347687099773;23603.826772618886;23869.338272565506;24734.027661657623;25041.798703298027;25850.43118568005;26097.640720560197;26578.602705916957;26996.262523891994;"Australia";"NY.ADJ.NNTY.PC.KD";"Adjusted net national income per capita (constant 2005 US$)"
